id_rh,anio,vmae,vaeas,dma,p,prec,Nombre_rh,Area_Km2,PrecipitacionNormal,EscurrimientoNaturalMedioSuperficial,ImportacionesExportacionesOtrosPaises,EscurrimientoNaturalMedioSuperficialTotal,No_Cuencas
8,2017,180.305,65.637,0,0,364.3,Sonora Norte,61429,297,180.305470615999,0,180.305470615999,9
8,2018,180.30499999999998,65.637,0,0,483.49,Sonora Norte,61429,297.05,180.305470615999,0,180.305470615999,9
8,2019,180.305,65.637,0,0,263.745012200573,Sonora Norte,61429,297,180.305470615999,0,180.305470615999,9
8,2020,211.316,64.762,0,0,232.308876147855,NA,NA,NA,NA,0,NA,NA
8,2021,199.16724753521675,64.762,NA,0,253.72866959051,NA,NA,NA,NA,0,NA,NA
8,2022,201.11872407109462,64.762,NA,0,259.478106238666,NA,NA,NA,NA,0,NA,NA
8,2023,197.71973475138262,64.762,NA,0,253.234495974922,NA,NA,NA,NA,0,NA,NA
9,2005,4934.46,8246.85,558.21,531.6289550950905,428.0939,NA,NA,NA,NA,0,NA,NA
9,2006,4934.46,8246.85,558.21,531.6289550950905,464.1352,Sonora Sur,139370,427.6704352,4934.5,0,4934.5,0
9,2007,4934.46,8246.85,558.21,531.6289550950905,609.081525,Sonora Sur,139370,507.1653098,4934.5,0,4934.5,16
9,2008,4934.46,8246.85,558.21,531.6289550950905,428.51355,Sonora Sur,139370,504.48723775,4934.5,0,4934.5,16
9,2009,4934.46,8246.85,558.21,531.6289550950905,464.53475000000003,Sonora Sur,139370,505,4934.5,0,4934.5,16
9,2010,4934.46,8246.85,558.21,531.6289550950905,421.66157499999997,Sonora Sur,139370,505,4934.460000000001,0,4934.460000000001,16
9,2011,4934.460000000001,8849.536166666667,558.21,612.755501673596,411.36588674999996,Sonora Sur,139370,482.69,4935,0,4935,16
9,2012,4934.46,8849.536166666667,558.21,612.7555016735942,356.28654474999996,Sonora Sur,139370,482.69,4934.5,0,4934.5,16
9,2013,4934.288,8582.925000000001,553.1122727272727,576.5091317390727,428.23,Sonora Sur,139370,482.69,4934.5,0,4934.5,16
9,2014,4934.288,8582.925000000001,553.1122727272727,576.5091317390727,418.79999999999995,Sonora Sur,139370,482.69,4934.3,0,4934.3,16
9,2015,4934.288,8582.925000000001,553.1122727272727,576.5091317390727,612.4,Sonora Sur,139370,482.69,4934.3,0,4934.3,16
9,2016,4828.255999999999,9660.351,523.794,500.6600697316651,421.3475,Sonora Sur,139370,483,4828.25487543957,0,4828.25487543957,16
9,2017,4828.256,9660.351,523.794,500.6600697316669,394.35,Sonora Sur,139370,483,4828.25487543957,0,4828.25487543957,16
9,2018,4828.255999999999,9660.351,523.794,500.6600697316651,542.3025,Sonora Sur,139370,482.69,4828.25487543957,0,4828.25487543957,16
9,2019,4828.256,9660.351,523.794,500.6600697316669,342.00312314482403,Sonora Sur,139370,483,4828.25487543957,0,4828.25487543957,16
9,2020,4799.52,8816.855,254.517,327.25741012022513,332.3514445839835,NA,NA,NA,NA,0,NA,NA
9,2021,4868.043513752119,8816.855,NA,470.0014949543827,341.511934010398,NA,NA,NA,NA,0,NA,NA
9,2022,4884.458075840634,8816.855,NA,504.1953287930053,344.50946128285045,NA,NA,NA,NA,0,NA,NA
9,2023,4914.008280799597,8816.855,NA,565.7525480971406,342.46769509095026,NA,NA,NA,NA,0,NA,NA
10,2005,15004.699,20802.715,6595.882,6598.346591135811,672.28525,NA,NA,NA,NA,0,NA,NA
10,2006,15004.699,20802.715,6595.882,6598.346591135811,841.24445,Sinaloa,103483,617.4299928,14408,0,14408,11
10,2007,15004.699,20802.715,6595.882,6598.346591135811,686.8236,Sinaloa,103483,715.8869657,14408,0,14408,19
10,2008,15004.698999999999,20802.715,6595.882,6598.3465911358035,741.4807,Sinaloa,103483,713.07884849,14408,0,14408,21
10,2009,15004.699,20802.715,6595.882,6598.346591135811,626.8162,Sinaloa,103483,713,14408,0,14408,21
10,2010,14787.689999999999,20506.995,5901.872,5737.173142928115,568.6229,Sinaloa,103483,713,14350.419000000002,0,14350.419000000002,23
10,2011,14779.297999999999,21012.194274087025,5891.188,5813.936991696615,569.7356199999999,Sinaloa,103483,747.42,14350,0,14350,23
10,2012,14779.297999999999,21012.194274087025,5891.188,5813.936991696615,682.974939,Sinaloa,103483,747.42,14350.4,0,14350.4,23
10,2013,14756.070999999998,21554.541,5672.686,5844.050915464055,760.0550000000001,Sinaloa,103483,747.42,14350.4,0,14350.4,23
10,2014,14756.071,21554.541,5672.686,5844.050915464062,757.1,Sinaloa,103483,747.42,14318.8,0,14318.8,23
10,2015,14756.070999999998,21554.541,5672.686,5844.050915464055,927.8,Sinaloa,103483,747.42,14318.8,0,14318.8,23
10,2016,14695.811,21303.069,5653.341,5568.836283587251,626.91,Sinaloa,103483,747,14695.8096071953,0,14695.8096071953,30
10,2017,14695.811,21303.069,5653.341,5568.836283587251,569.7,Sinaloa,103483,747,14695.8096071953,0,14695.8096071953,30
10,2018,14695.811,21303.069,5653.341,5568.836283587251,813.25,Sinaloa,103483,747.42,14695.8096071953,0,14695.8096071953,30
10,2019,14695.811,21303.069,5653.341,5568.836283587251,587.302585080093,Sinaloa,103483,747,14695.8096071953,0,14695.8096071953,30
10,2020,14644.172,19015.889,4760.831,4891.633037258587,580.603686053436,NA,NA,NA,NA,0,NA,NA
10,2021,14610.082519454163,19015.889,NA,4766.24993034482,580.595312479224,NA,NA,NA,NA,0,NA,NA
10,2022,14663.38810638367,19015.889,NA,4962.31100250157,580.595301769604,NA,NA,NA,NA,0,NA,NA
10,2023,14704.105409632657,19015.889,NA,5112.071629673446,580.595301755912,NA,NA,NA,NA,0,NA,NA
11,2005,8872.265,609.874,15467.787,15476.298803130572,768.6622,NA,NA,NA,NA,0,NA,NA
11,2006,8872.265,609.874,15467.787,15476.298803130572,926.4712,Presidio-San Pedro,51717,653.8875703,8078.5,0,8078.5,0
11,2007,8872.265000000001,609.874,15467.787,15476.298803130569,646.9104,Presidio-San Pedro,51717,815.20133,7955.5,0,7955.5,4
11,2008,8872.265,609.874,15467.787,15476.298803130572,782.8042,Presidio-San Pedro,51717,818.44143125,7955.5,0,7955.5,19
11,2009,8872.265,609.874,15467.787,15476.298803130572,628.2993,Presidio-San Pedro,51717,818,7955.5,0,7955.5,19
11,2010,8872.265000000001,609.874,15467.787,15476.298803130569,633.5866,Presidio-San Pedro,51717,818,8299.223,0,8299.223,23
11,2011,8872.265,2673.8433686868684,15467.787,12934.736931286006,569.678802,Presidio-San Pedro,51717,819.02,8299,0,8299,23
11,2012,8872.265,2673.8433686868684,15467.787,12934.736931286006,670.7822,Presidio-San Pedro,51717,819.02,8299.2,0,8299.2,23
11,2013,8773.648,731.327,15072.181,15563.277218003812,673.88,Presidio-San Pedro,51717,819.02,8299.2,0,8299.2,23
11,2014,8773.648,731.327,15072.181,15563.277218003812,748,Presidio-San Pedro,51717,819.02,8200.6,0,8200.6,23
11,2015,8773.648000000001,731.327,15072.181,15563.277218003808,833.5,Presidio-San Pedro,51717,819.02,8200.6,0,8200.6,23
11,2016,8840.841,5600.488,9279.923,9406.2520816463,662.48,Presidio-San Pedro,51717,819,8840.84303687693,0,8840.84303687693,26
11,2017,8840.841,5600.488,9279.923,9406.2520816463,620.1,Presidio-San Pedro,51717,819,8840.84303687693,0,8840.84303687693,26
11,2018,8840.841,5600.488,9279.923,9406.2520816463,693.57,Presidio-San Pedro,51717,819.02,8840.84303687693,0,8840.84303687693,26
