id_rh,Nombre_rh,Area_Km2,PrecipitacionNormal,EscurrimientoNaturalMedioSuperficial,ImportacionesExportacionesOtrosPaises,EscurrimientoNaturalMedioSuperficialTotal,No_Cuencas,anio
5,B.C. Centro-Este,13626,101.000000000000,53.500000000000,,53.500000000000,15,2009
6,B.C. Sureste,11558,274.000000000000,218.500000000000,,218.500000000000,14,2009
7,Río Colorado,6911,107.000000000000,13.400000000000,1850,1863.600000000000,1,2009
8,Sonora Norte,61429,304.000000000000,139.000000000000,,139.000000000000,5,2009
9,Sonora Sur,139370,505.000000000000,4934.500000000000,,4934.500000000000,16,2009
10,Sinaloa,103483,713.000000000000,14408.000000000000,,14408.000000000000,21,2009
11,Presidio-San Pedro,51717,818.000000000000,7955.500000000000,,7955.500000000000,19,2009
12,Lerma-Santiago,132916,723.000000000000,13636.900000000000,,13636.900000000000,58,2009
13,Río Huicicila,5225,1387.000000000000,1277.200000000000,,1277.200000000000,6,2009
14,Río Ameca,12255,1020.000000000000,2235.500000000000,,2235.500000000000,9,2009
15,Costa de Jalisco,12967,1175.000000000000,3683.800000000000,,3683.800000000000,11,2009
16,Armería-Coahuayana,17628,908.000000000000,3985.500000000000,,3985.500000000000,10,2009
17,Costa de Michoacán,9205,888.000000000000,1612.400000000000,,1612.400000000000,6,2009
18,Balsas,118268,952.000000000000,17056.500000000000,,17056.500000000000,15,2009
19,Costa Grande de Guerrero,12132,1234.000000000000,6090.650000000000,,6090.650000000000,28,2009
20,Costa Chica de Guerrero,39936,1391.000000000000,18713.549999999999,,18713.549999999999,32,2009
21,Costa de Oaxaca,10514,967.000000000000,3389.200000000000,,3389.200000000000,19,2009
22,Tehuantepec,16363,821.000000000000,2606.200000000000,,2606.200000000000,15,2009
23,Costa de Chiapas,12293,2347.000000000000,9603.799999999999,2950,12553.799999999999,25,2009
24,Bravo-Conchos,229740,453.000000000000,5587.700000000000,-432,5155.700000000000,37,2009
25,San Fernando-Soto la Marina,54961,757.000000000000,4328.200000000000,,4328.200000000000,45,2009
26,Pánuco,96989,892.000000000000,20329.500000000000,,20329.500000000000,77,2009
27,Norte de Veracruz (Tuxpan-Nautla),26592,1427.000000000000,14305.700000000001,,14305.700000000001,12,2009
28,Papaloapan,57355,1460.000000000000,49951.400000000001,,49951.400000000001,18,2009
29,Coatzacoalcos,30217,1946.000000000000,39481.599999999999,,39481.599999999999,15,2009
30,Grijalva-Usumacinta,102465,1709.000000000000,73465.589999999997,44080,117545.789999999990,83,2009
31,Yucatán Oeste,25443,1229.000000000000,590.600000000000,,590.600000000000,2,2009
32,Yucatán Norte,58135,1091.000000000000,0.000000000000,,0.000000000000,0,2009
33,Yucatán Este,38308,1243.000000000000,1124.800000000000,864,1989.200000000000,1,2009
34,Cuencas Cerradas del Norte,90829,404.000000000000,1701.300000000000,,1701.300000000000,22,2009
35,Mapimí,62639,361.000000000000,957.400000000000,,957.400000000000,6,2009
36,Nazas-Aguanaval,93032,425.000000000000,1911.600000000000,,1911.600000000000,16,2009
37,El Salado,87801,431.000000000000,2636.900000000000,,2636.900000000000,8,2009
1,B.C. Noroeste,28492,248.849193780000,359.000000000000,,359.000000000000,16,2008
2,B.C. Centro-Oeste,44314,102.503772140000,449.000000000000,,449.000000000000,16,2008
3,B.C. Suroeste,29722,184.239358060000,318.400000000000,,318.400000000000,15,2008
4,B.C. Noreste,14418,190.350575050000,105.100000000000,,105.100000000000,8,2008
5,B.C. Centro-Este,13626,101.332532620000,53.500000000000,,53.500000000000,15,2008
6,B.C. Sureste,11558,274.080082320000,218.500000000000,,218.500000000000,14,2008
7,Río Colorado,6911,106.783615320000,13.400000000000,1850,1863.400000000000,1,2008
8,Sonora Norte,61429,303.819749590000,139.000000000000,,139.000000000000,5,2008
9,Sonora Sur,139370,504.487237750000,4934.500000000000,,4934.500000000000,16,2008
10,Sinaloa,103483,713.078848490000,14408.000000000000,,14408.000000000000,21,2008
11,Presidio-San Pedro,51717,818.441431250000,7955.500000000000,,7955.500000000000,19,2008
12,Lerma-Santiago,132916,722.483846350000,13636.900000000000,,13636.900000000000,58,2008
13,Río Huicicila,5225,1387.330215060000,1277.200000000000,,1277.200000000000,6,2008
14,Río Ameca,12255,1020.187736100000,2235.500000000000,,2235.500000000000,9,2008
15,Costa de Jalisco,12967,1175.354365500000,3683.800000000000,,3683.800000000000,11,2008
16,Armería-Coahuayana,17628,908.352646300000,3985.500000000000,,3985.500000000000,0,2008
17,Costa de Michoacán,9205,888.054157730000,1612.400000000000,,1612.400000000000,0,2008
18,Balsas,118268,951.612494350000,17056.500000000000,,17056.500000000000,15,2008
19,Costa Grande de Guerrero,12132,1234.164456260000,6090.700000000000,,6090.700000000000,28,2008
20,Costa Chica de Guerrero,39936,1390.896794000000,18713.599999999999,,18713.599999999999,32,2008
21,Costa de Oaxaca,10514,966.546121080000,3389.200000000000,,3389.200000000000,19,2008
22,Tehuantepec,16363,821.198971380000,2606.200000000000,,2606.200000000000,15,2008
23,Costa de Chiapas,12293,2347.317608540000,9603.799999999999,2950,12553.799999999999,25,2008
24,Bravo-Conchos,229740,453.259194410000,5587.700000000000,-432,5155.700000000000,37,2008
