CLAVE,NOMBRE,PERIODO DE DATOS,CLAVE_OMM,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES,LAT_DGRADO,LONG_DGRADO
1036,SANTA ROSA,1972-1976,,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,SUSPENDIDA,21,49,0,102,18,0,1860,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",21.816667,-102.3
1041,PABELLON DE ARTEAGA (SMN),"1928-1949, 1954-1960",,PABELLON DE ARTEAGA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO SAN PEDRO,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,SUSPENDIDA,22,9,0,102,17,0,1900,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO""",22.15,-102.283333
1043,E.T.A. 127 AGUASCALIENTES,1973-1976,,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-SMN,SUSPENDIDA,21,53,0,102,18,0,1855,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",21.883333,-102.3
1045,EL TULE (DGE),1974-2015,,ASIENTOS,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,4,59,102,5,28,1981.7,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",22.083056,-102.091111
1046,LA LABOR (DGE),1974-2015,,CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO JUCHIPILA 1,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,57,52,102,41,50,1784.5,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO JUCHIPILA 1""",21.964444,-102.697222
1047,AGUA ZARCA,1975-2015,,CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO JUCHIPILA 1,RIO MORCINIQUE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,58,27,102,35,4,2416.8,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO JUCHIPILA 1""",21.974167,-102.584444
1057,VENADERO (SMN),1942-1960,,JESUS MARIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO MORCINIQUE,CLIMATOLOGICA,CONAGUA-SMN,SUSPENDIDA,21,52,21,102,28,0,2000,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",21.8725,-102.466667
1062,ARELLANO,"1949-1956, 1979-2015",,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA AJOJUCAR,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,48,7,102,16,23,1910.7,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA AJOJUCAR""",21.801944,-102.273056
1063,PE??UELAS (SMN),1942-1960,,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO ENCARNACION,RIO ENCARNACION,CLIMATOLOGICA,CONAGUA-SMN,SUSPENDIDA,21,43,30,102,16,30,1870,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO ENCARNACION""",21.725,-102.275
1073,LA TINAJA,"1971, 1976-2015",,EL LLANO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA AJOJUCAR,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,48,34,102,7,47,2027.1,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA AJOJUCAR""",21.809444,-102.129722
1074,CIENEGUILLA,1979-2015,,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA AJOJUCAR,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,43,52,102,27,10,1838.8,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA AJOJUCAR""",21.731111,-102.452778
1075,MONTORO,1979-2015,,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA AJOJUCAR,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,45,26,102,18,8,1870.5,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA AJOJUCAR""",21.757222,-102.302222
1076,LOS NEGRITOS,1979-2015,,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,52,14,102,20,57,1887.1,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",21.870556,-102.349167
1077,EL OCOTE,1979-2015,,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA AJOJUCAR,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,46,58,102,31,3,2044.6,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA AJOJUCAR""",21.782778,-102.5175
1078,EL OCOTE,1980-2015,,CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO JUCHIPILA 1,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,53,25,102,49,57,2328.9,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO JUCHIPILA 1""",21.890278,-102.8325
1079,PE??UELAS (DGE),1979-2015,,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO ENCARNACION,RIO ENCARNACION,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,43,33,102,16,20,1900.3,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO ENCARNACION""",21.725833,-102.272222
1080,PRESA CANUTILLO,1979-2015,,JESUS MARIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO JUCHIPILA 1,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,50,15,102,31,20,1949.7,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO JUCHIPILA 1""",21.8375,-102.522222
1081,RANCHO SECO,1979-2015,,ASIENTOS,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,5,18,101,58,2,2067.2,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",22.088333,-101.967222
1082,RINCON DE ROMOS,1979-2015,,RINCON DE ROMOS,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO SAN PEDRO,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,13,52,102,18,55,1965.3,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO""",22.231111,-102.315278
1083,SAN FRANCISCO DE LOS ROMO (DGE),1979-2015,,SAN FRANCISCO DE LOS ROMO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,4,44,102,16,23,1909.1,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",22.078889,-102.273056
1084,SAN GIL,1979-2015,,ASIENTOS,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,12,30,102,1,20,2032.2,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",22.208333,-102.022222
1085,TEPETATILLO,1979-2015,,ASIENTOS,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO SAN PEDRO,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,5,28,102,10,53,2039.7,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO""",22.091111,-102.181389
1088,COSIO,1978-2015,,COSIO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO SAN PEDRO,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,21,46,102,17,49,2022.7,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO""",22.362778,-102.296944
1089,PRESA 50 ANIVERSARIO,"1980-2013, 2015",,SAN JOSE DE GRACIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA CALLES,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,11,19,102,27,51,2104.3,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA CALLES""",22.188611,-102.464167
1090,JESUS MARIA (DGE),1979-2015,,JESUS MARIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,57,44,102,21,2,1880.9,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",21.962222,-102.350556
1091,LOS ALISOS,1980-2015,,CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO JUCHIPILA 1,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,44,32,102,43,1,2216,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO JUCHIPILA 1""",21.742222,-102.716944
1094,EL CHAYOTE,"1981-2013, 2015",,TEPEZALA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO SAN PEDRO,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,17,10,102,14,9,1951.2,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO""",22.286111,-102.235833
1095,MILPILLAS DE ARRIBA,1981-2015,,JESUS MARIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO MORCINIQUE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,56,6,102,33,3,2163.6,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",21.935,-102.550833
1096,CALVILLITO,1983-2015,,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,50,7,102,10,57,1969.8,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",21.835278,-102.1825
1097,AGUASCALIENTES II,"1995-2013, 2015",,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA,OPERANDO,21,54,20,102,15,54,1945.5,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",21.905556,-102.265
