id_rh,anio,vmae,vaeas,dma,p,Nombre_rh,Area_Km2,PrecipitacionNormal,EscurrimientoNaturalMedioSuperficial,ImportacionesExportacionesOtrosPaises,EscurrimientoNaturalMedioSuperficialTotal,No_Cuencas
5,2021,35.68745020594301,1.034,NA,31.08412618174604,NA,NA,NA,NA,0,NA,NA
5,2022,29.94144763179261,1.034,NA,25.912506993399344,NA,NA,NA,NA,0,NA,NA
5,2023,26.75494617460082,1.034,NA,23.044535413671255,NA,NA,NA,NA,0,NA,NA
6,2005,207.51999999999998,12.939,173.829,173.8995479630757,NA,NA,NA,NA,0,NA,NA
6,2006,207.51999999999998,12.939,173.829,173.8995479630757,B.C. Sureste,11558,176.0460465,218.5,0,218.5,0
6,2007,207.51999999999998,12.939,173.829,173.8995479630757,B.C. Sureste,11558,284.6794797,218.5,0,218.5,14
6,2008,207.51999999999998,12.939,173.829,173.8995479630757,B.C. Sureste,11558,274.08008232,218.5,0,218.5,14
6,2009,207.52,12.939,173.829,173.8995479630757,B.C. Sureste,11558,274,218.5,0,218.5,14
6,2010,207.51999999999998,12.939,173.829,173.8995479630757,B.C. Sureste,11558,274,218.503,0,218.503,14
6,2011,207.51999999999998,13.865499999999999,173.829,173.60259807176593,B.C. Sureste,11558,290.66,219,0,219,14
6,2012,207.52,13.865499999999999,173.829,173.60259807176593,B.C. Sureste,11558,290.66,218.5,0,218.5,14
6,2013,179.809,13.860999999999999,147.966,147.84241916808037,B.C. Sureste,11558,290.66,218.5,0,218.5,14
6,2014,179.809,13.860999999999999,147.966,147.84241916808037,B.C. Sureste,11558,290.66,199.5,0,199.5,14
6,2015,179.809,13.860999999999999,147.966,147.84241916808037,B.C. Sureste,11558,290.66,199.5,0,199.5,14
6,2016,167.07500000000002,14.564,135.801,135.7788981547565,B.C. Sureste,11558,291,185.736699908789,0,185.736699908789,14
6,2017,167.07500000000002,14.564,135.801,135.7788981547565,B.C. Sureste,11558,291,185.736699908789,0,185.736699908789,14
6,2018,167.07500000000002,14.564,135.801,135.7788981547565,B.C. Sureste,11558,290.66,185.736699908789,0,185.736699908789,14
6,2019,167.07500000000002,14.564,135.801,135.7788981547565,B.C. Sureste,11558,291,185.736699908789,0,185.736699908789,14
6,2020,179.179,14.791,146.47,146.95866595474598,NA,NA,NA,NA,0,NA,NA
6,2021,165.9142803481042,14.791,NA,134.62707623189712,NA,NA,NA,NA,0,NA,NA
6,2022,163.03984555368848,14.791,NA,131.95484858592874,NA,NA,NA,NA,0,NA,NA
6,2023,162.30032607087483,14.791,NA,131.26735189595476,NA,NA,NA,NA,0,NA,NA
7,2005,13.13,1805.541,56.51,52.92273440147096,NA,NA,NA,NA,0,NA,NA
7,2006,13.13,1805.541,56.51,58.107380464217655,Río Colorado,6911,250.8298837,13,1850,1863,0
7,2007,13.13,1805.541,56.51,58.107380464217655,Río Colorado,6911,100.2810022,13.4,1850,1863.4,1
7,2008,13.13,1805.541,56.51,58.107380464217655,Río Colorado,6911,106.78361532,13.4,1850,1863.4,1
7,2009,13.13,1805.541,56.51,58.107380464217655,Río Colorado,6911,107,13.4,1850,1863.6,1
7,2010,13.130000000000003,1805.541,56.51,58.107380464217655,Río Colorado,6911,107,79.95,1850,1930.15,4
7,2011,11.276,1754.5736666666667,131.277,124.66620088056202,Río Colorado,6911,98.39,78,1850,1928,4
7,2012,11.276,1754.5736666666667,131.277,124.66620088056202,Río Colorado,6911,98.39,78.1,1850,1928.3,4
7,2013,11.276,1729.105,131.277,143.61287245141676,Río Colorado,6911,98.39,77.9,1850,1928.1,4
7,2014,11.276,1729.105,131.277,143.61287245141676,Río Colorado,6911,98.39,77.9,1850,1928.1,4
7,2015,11.276000000000002,1729.105,131.277,143.61287245141676,Río Colorado,6911,98.39,77.9,1850,1928.1,4
7,2016,12.515999999999998,1729.086,132.413,124.46976964088462,Río Colorado,6911,98,71.754718280881,1850,1921.95471828088,4
7,2017,12.515999999999998,1729.086,132.413,124.46976964088462,Río Colorado,6911,98,71.754718280881,1850,1921.95471828088,4
7,2018,12.515999999999998,1729.086,132.413,124.46976964088462,Río Colorado,6911,98.39,71.754718280882,1850,1921.95471828088,4
7,2019,12.516000000000002,1729.086,132.413,124.46976964088462,Río Colorado,6911,98,71.754718280882,1850,1921.95471828088,4
7,2020,19.985,1729.061,0.325,3.912265598529075,NA,NA,NA,NA,0,NA,NA
7,2021,16.91517226428081,1729.061,NA,51.339215939230144,NA,NA,NA,NA,0,NA,NA
7,2022,17.614042598655757,1729.061,NA,40.54209913123282,NA,NA,NA,NA,0,NA,NA
7,2023,18.37741377993456,1729.061,NA,28.74848391146884,NA,NA,NA,NA,0,NA,NA
8,2005,136.07,52.32,0,0,NA,NA,NA,NA,0,NA,NA
8,2006,136.07,52.32,0,0,Sonora Norte,61429,428.8245236,139,0,139,0
8,2007,136.07,52.32,0,0,Sonora Norte,61429,301.150639,139,0,139,5
8,2008,136.07,52.32,0,0,Sonora Norte,61429,303.81974959,139,0,139,5
8,2009,136.07,52.32,0,0,Sonora Norte,61429,304,139,0,139,5
8,2010,136.07,52.32,0,0,Sonora Norte,61429,304,138.99,0,138.99,5
8,2011,136.07,57.5965,0,0,Sonora Norte,61429,297.05,139,0,139,5
8,2012,132.8573076923077,57.5965,0,0,Sonora Norte,61429,297.05,132.2,0,132.2,5
8,2013,125.14999999999999,52.32,0,0,Sonora Norte,61429,297.05,139,0,139,5
8,2014,125.14999999999999,52.32,0,0,Sonora Norte,61429,297.05,132.2,0,132.2,5
8,2015,125.14999999999998,52.32,0,0,Sonora Norte,61429,297.05,132.2,0,132.2,5
8,2016,132.129,65.087,0,0,Sonora Norte,61429,297,180.305470615999,0,180.305470615999,9
8,2017,132.12900000000002,65.087,0,0,Sonora Norte,61429,297,180.305470615999,0,180.305470615999,9
8,2018,132.129,65.087,0,0,Sonora Norte,61429,297.05,180.305470615999,0,180.305470615999,9
8,2019,132.12900000000002,65.087,0,0,Sonora Norte,61429,297,180.305470615999,0,180.305470615999,9
8,2020,142.829,64.57,0,0,NA,NA,NA,NA,0,NA,NA
8,2021,140.14165447786428,64.57,NA,0,NA,NA,NA,NA,0,NA,NA
