CLAVE,NOMBRE,PERIODO DE DATOS,CLAVE_OMM,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES,LAT_DGRADO,LONG_DGRADO
CAZSO,CAZANATE,2006-2006,NA,ALAMOS,SONORA,NOROESTE,ARROYO ÁLAMOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.62,-108.83
CBRDR,"CABORACA, DGO.",1994-2016,NA,CANATLÁN,DURANGO,PACÍFICO NORTE,RÍO LA SAUCEDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.52,-104.8
CCNBS,"CD. CONSTITUCIÓN, B.C.S.",1994-2016,NA,COMONDÁS,BAJA CALIFORNIA SUR,PENÍNSULA DE BAJA CALIFORNIA,LA PURÍSIMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.01,-111.7
CDOOX,"CERRO DE ORO (MIGUEL DE LA MADRID), OAX.",1994-2016,NA,SAN LUCAS OJITLÁN,OAXACA,GOLFO CENTRO,RÍO SANTO DOMINGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.02,-96.27
CHICP,"CHICOASÉN, CHIS.",1994-2016,NA,OSUMACINTA,CHIAPAS,FRONTERA SUR,PRESA CHICOASEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.93,-93.1
CHTSO,"CUAUHTÉMOC, SON.",1994-2016,NA,TUBUTAMA,SONORA,NOROESTE,RÍO MAGDALENA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.94,-111.52
COBCA,"CAMPECHE OBSERVATORIO, CAMP.",1994-2016,NA,CAMPECHE,CAMPECHE,PENÍNSULA DE YUCATÁN,SIN NOMBRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.83,-90.54
COOCP,"COMITÁN OBSERVATORIO, CHIS.","1994-2006, 2008-2016",NA,COMITÁN DOMÍNGUEZ,CHIAPAS,FRONTERA SUR,AGUACATENCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,-92.1
CPRNL,"CERRO PRIETO, N.L.",1994-2016,NA,MONTEMORELOS,NUEVO LEÓN,RÍO BRAVO,RÍO CONCHOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.03,-99.38
CRRBN,"EL CARRIZO, B.C.",1994-2016,NA,TIJUANA,BAJA CALIFORNIA,PENÍNSULA DE BAJA CALIFORNIA,TIJUANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.48,-116.7
CVCTP,"CD. VICTORIA OBSERVATORIO, TAMPS.",1994-2016,NA,VICTORIA,TAMAULIPAS,GOLFO NORTE,AREA NO AFORADA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.72,-99.17
EFLBN,"EL FLORIDO, B.C.",1996-2016,NA,TIJUANA,BAJA CALIFORNIA,PENÍNSULA DE BAJA CALIFORNIA,TIJUANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,-116.88
ELZBN,"EMILIO LÓPEZ ZAMORA, B.C.",1994-2016,NA,ENSENADA,BAJA CALIFORNIA,PENÍNSULA DE BAJA CALIFORNIA,SAN RAFAEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.13,-116.18
ENDHD,"ENDHÓ, HGO.",1994-2016,NA,TEPATITLÁN,HIDALGO,VALLE DE MÉXICO,RÍO TULA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.23,-99.41
ERECH,"EL REJÓN, CHIH.",1994-2016,NA,CHIHUAHUA,CHIHUAHUA,RÍO BRAVO,RÍO SAN PEDRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.66,-106.16
ESLCL,E. C. SALTILLO,1994-2016,NA,SALTILLO,COAHUILA DE ZARAGOZA,RÍO BRAVO,RÍO SALINAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.43,-100.9
EZAYC,"EMILIANO ZAPATA, YUC.",1994-2016,NA,MÉRIDA,YUCATÁN,PENÍNSULA DE YUCATÁN,SIN NOMBRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.98,-89.58
FAEYC,"FUERZA AÉREA, YUC.",1995-2016,NA,MÉRIDA,YUCATÁN,PENÍNSULA DE YUCATÁN,SIN NOMBRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.05,-89.7
